,Unnamed: 0,Marca,Modelo,Capacidade da bateria,Tamanho da tela,Touchscreen,Resolução X,Resolução Y,Processador,Armazenamento (GB),Camera traseira,Camera Frontal,Sistema,Preço,Valor em real,Valor em Dolar
27,27,Samsung,Galaxy Note 9,4000,6.4,sim,1440,2960,8,128.0,12.0,8.0,Android,56999,1880.967,387.59319999999997
28,28,LG,G7+ ThinQ,3000,6.1,sim,1440,3120,8,128.0,16.0,8.0,Android,37999,1253.967,258.3932
29,29,Asus,ZenFone Max Pro M1,5000,5.99,sim,1080,2160,8,32.0,13.0,8.0,Android,9990,329.67,67.932
30,30,Huawei,P20 Pro,4000,6.1,sim,1080,2240,8,64.0,40.0,24.0,Android,49990,1649.67,339.93199999999996
31,31,OnePlus,6,3300,6.28,sim,1080,2280,8,64.0,16.0,16.0,Android,34999,1154.967,237.99319999999997
32,32,Asus,ZenFone 5Z (ZS620KL),3300,6.2,sim,1080,2246,8,64.0,12.0,8.0,Android,18999,626.967,129.1932
33,33,Xiaomi,Redmi Note 5 Pro,4000,5.99,sim,1080,2160,8,64.0,12.0,20.0,Android,9349,308.517,63.5732
34,34,Nokia,7 Plus,3800,6.0,sim,1080,2160,8,64.0,12.0,16.0,Android,12000,396.0,81.6
35,35,Samsung,Galaxy S9+,3500,6.2,sim,1440,2960,8,64.0,12.0,8.0,Android,29999,989.9670000000001,203.9932
36,36,Samsung,Galaxy S9,3000,5.8,sim,1440,2960,8,64.0,12.0,8.0,Android,26999,890.9670000000001,183.5932
37,37,HTC,U11+,3930,6.0,sim,1440,2560,8,128.0,12.0,8.0,Android,52990,1748.67,360.332
38,38,Samsung,Galaxy Note 8,3300,6.3,sim,1440,2960,8,64.0,12.0,8.0,Android,49999,1649.967,339.9932
39,39,Apple,iPhone 8,1821,4.7,sim,750,1334,6,64.0,12.0,7.0,iOS,36999,1220.967,251.5932
40,40,Apple,iPhone 8 Plus,2691,5.5,sim,1080,1920,6,64.0,12.0,7.0,iOS,47000,1551.0,319.59999999999997
41,41,Apple,iPhone X,2716,5.8,sim,1125,2436,6,64.0,12.0,7.0,iOS,69999,2309.967,475.9932
42,42,Motorola,Moto Z2 Force,2730,5.5,sim,1440,2560,8,64.0,12.0,5.0,Android,20999,692.967,142.79319999999998
43,43,HTC,U11,3000,5.5,sim,1440,2560,8,128.0,12.0,16.0,Android,53990,1781.67,367.132
44,44,Nokia,8,3090,5.3,sim,1440,2560,8,64.0,13.0,13.0,Android,14994,494.802,101.9592
45,45,Samsung,Galaxy S8+,3500,6.2,sim,1440,2960,8,64.0,12.0,8.0,Android,30000,990.0,204.0
46,46,Samsung,Galaxy S8,3000,5.8,sim,1440,2960,8,64.0,12.0,8.0,Android,26994,890.802,183.55919999999998
47,47,LG,G6,3300,5.7,sim,1440,2880,1,32.0,13.0,5.0,Android,23990,791.6700000000001,163.132
48,48,OnePlus,3T,3400,5.5,sim,1080,1920,4,64.0,16.0,16.0,Android,19999,659.967,135.9932
49,49,Samsung,Galaxy C9 Pro,4000,6.0,sim,1080,1920,8,64.0,16.0,16.0,Android,16999,560.967,115.5932
50,50,Google,Pixel XL,3450,5.5,sim,1440,2560,4,32.0,12.3,8.0,Android,30990,1022.6700000000001,210.732
51,51,Apple,iPhone 7 Plus,2900,5.5,sim,1080,1920,4,32.0,12.0,7.0,iOS,34999,1154.967,237.99319999999997
52,52,Apple,iPhone 7,1960,4.7,sim,750,1334,4,32.0,12.0,7.0,iOS,27999,923.9670000000001,190.39319999999998
53,53,Honor,8,3000,5.2,sim,1080,1920,8,32.0,12.0,8.0,Android,20246,668.118,137.6728
54,54,OnePlus,3,3000,5.5,sim,1080,1920,4,64.0,16.0,8.0,Android,22999,758.967,156.39319999999998
55,55,Asus,ZenFone 3 Deluxe (ZS570KL),3000,5.7,sim,1080,1920,4,256.0,23.0,8.0,Android,44999,1484.967,305.9932
56,56,Xiaomi,Mi 5,3000,5.15,sim,1080,1920,4,32.0,16.0,4.0,Android,24999,824.967,169.9932
57,57,Samsung,Galaxy S7 Edge,3600,5.5,sim,1440,2560,8,32.0,12.0,5.0,Android,39996,1319.8680000000002,271.9728
58,58,Samsung,Galaxy S7,3000,5.1,sim,1440,2560,8,32.0,12.0,5.0,Android,23999,791.967,163.1932
59,59,Motorola,Moto X Force,3760,5.4,sim,1440,2560,8,32.0,21.0,5.0,Android,6994,230.80200000000002,47.5592
60,60,Huawei,Google Nexus 6P,3450,5.7,sim,1440,2560,8,32.0,12.3,8.0,Android,42998,1418.934,292.3864
61,61,Apple,iPhone 6s Plus,2750,5.5,sim,1080,1920,1,16.0,12.0,5.0,iOS,25990,857.6700000000001,176.732
62,62,Yu,reka Plus,2500,5.5,sim,1080,1920,8,16.0,13.0,5.0,Cyanogen,5995,197.835,40.766
63,63,Samsung,Galaxy A8,3050,5.7,sim,1080,1920,8,32.0,16.0,5.0,Android,7299,240.86700000000002,49.633199999999995
64,64,Samsung,Galaxy S6,2550,5.1,sim,1440,2560,8,32.0,16.0,5.0,Android,25999,857.967,176.79319999999998
65,65,Yu,reka,2500,5.5,sim,720,1280,8,16.0,13.0,5.0,Cyanogen,3999,131.967,27.193199999999997
66,66,Xiaomi,Redmi Note,3100,5.5,sim,720,1280,8,8.0,13.0,5.0,Android,7999,263.967,54.3932
67,67,Realme,C3,5000,6.52,sim,720,1600,8,32.0,12.0,5.0,Android,6999,230.967,47.593199999999996
68,68,Poco,X2,4500,6.67,sim,1080,2400,8,64.0,64.0,20.0,Android,15999,527.967,108.7932
69,69,Samsung,Galaxy S10 Lite,4500,6.7,sim,1080,2400,8,128.0,48.0,32.0,Android,39999,1319.967,271.9932
70,70,Realme,5i,5000,6.52,sim,720,1600,8,64.0,12.0,8.0,Android,8999,296.96700000000004,61.1932
71,71,Samsung,Galaxy Note 10 Lite,4500,6.7,sim,1080,2400,8,128.0,12.0,32.0,Android,38999,1286.967,265.1932
72,72,Vivo,V17,4500,6.44,sim,1080,2400,8,128.0,48.0,32.0,Android,21150,697.95,143.82
73,73,Vivo,U20,5000,6.53,sim,1080,2340,8,64.0,16.0,16.0,Android,10990,362.67,74.732
74,74,Realme,5s,5000,6.5,sim,720,1600,8,64.0,48.0,13.0,Android,9999,329.96700000000004,67.9932
75,75,Realme,X2,4000,6.4,sim,1080,2340,8,64.0,64.0,32.0,Android,16999,560.967,115.5932
76,76,Vivo,V17 Pro,4100,6.44,sim,1080,2400,8,128.0,48.0,32.0,Android,26220,865.26,178.296
77,77,Nubia,Red Magic 3S,5000,6.65,sim,1080,2340,8,128.0,48.0,16.0,Android,47999,1583.967,326.3932
78,78,Samsung,Galaxy M30s,6000,6.4,sim,1080,2340,8,64.0,48.0,16.0,Android,12999,428.96700000000004,88.3932
79,79,Vivo,Z1x,4500,6.38,sim,1080,2340,8,128.0,48.0,32.0,Android,15990,527.6700000000001,108.732
80,80,Oppo,Reno 2Z,4000,6.53,sim,1080,2340,8,256.0,48.0,16.0,Android,23100,762.3000000000001,157.07999999999998
81,81,Realme,XT,4000,6.4,sim,1080,2340,8,64.0,64.0,16.0,Android,14999,494.96700000000004,101.99319999999999
82,82,Xiaomi,Redmi Note 8 Pro,4500,6.53,sim,1080,2340,8,64.0,64.0,20.0,Android,13999,461.96700000000004,95.19319999999999
83,83,Nokia,7.2,3500,6.3,sim,1080,2340,8,64.0,48.0,20.0,Android,15377,507.44100000000003,104.5636
84,84,Samsung,Galaxy A50s,4000,6.4,sim,1080,2340,8,128.0,48.0,32.0,Android,16650,549.45,113.22
85,85,Realme,5 Pro,4035,6.3,sim,1080,2340,8,64.0,48.0,16.0,Android,11999,395.96700000000004,81.5932
86,86,Realme,5,5000,6.5,sim,720,1600,8,32.0,12.0,13.0,Android,8600,283.8,58.48
87,87,Vivo,Z1 Pro,5000,6.53,sim,1080,2340,8,64.0,16.0,32.0,Android,12990,428.67,88.332
88,88,Xiaomi,Mi A3,4030,6.08,sim,720,1560,8,64.0,48.0,32.0,Android,11845,390.885,80.54599999999999
89,89,Asus,6Z,5000,6.4,sim,1080,2340,8,64.0,48.0,48.0,Android,27999,923.9670000000001,190.39319999999998
90,90,Samsung,Galaxy M40,3500,6.3,sim,1080,2340,8,128.0,32.0,16.0,Android,16879,557.0070000000001,114.7772
91,91,Xiaomi,Redmi Note 7S,4000,6.3,sim,1080,2340,8,32.0,48.0,13.0,Android,8649,285.41700000000003,58.813199999999995
92,92,Motorola,One Vision,3500,6.3,sim,1080,2520,8,128.0,48.0,25.0,Android,13690,451.77000000000004,93.092
93,93,Nubia,Red Magic 3,5000,6.65,sim,1080,2340,8,128.0,48.0,16.0,Android,35999,1187.967,244.79319999999998
94,94,Oppo,A9,4020,6.53,sim,1080,2340,8,128.0,16.0,16.0,Android,11990,395.67,81.532
95,95,Google,Pixel 3a XL,3700,6.0,sim,1080,2160,8,64.0,12.2,8.0,Android,34999,1154.967,237.99319999999997
96,96,Samsung,Galaxy A70,4500,6.7,sim,1080,2400,8,128.0,32.0,32.0,Android,22299,735.8670000000001,151.6332
97,97,Black Shark,2,4000,6.39,sim,1080,2340,8,128.0,48.0,20.0,Android,29999,989.9670000000001,203.9932
98,98,OnePlus,7,3700,6.41,sim,1080,2340,8,128.0,48.0,16.0,Android,29999,989.9670000000001,203.9932
99,99,LG,G8s ThinQ,3550,6.2,sim,1080,2248,8,64.0,12.0,8.0,Android,39990,1319.67,271.93199999999996
100,100,Vivo,V15 Pro,3700,6.39,sim,1080,2340,8,128.0,48.0,32.0,Android,17973,593.109,122.2164
101,101,Xiaomi,Redmi Note 7,4000,6.3,sim,1080,2340,8,32.0,12.0,13.0,Android,9699,320.067,65.9532
102,102,Xiaomi,Redmi 7,4000,6.26,sim,720,1520,8,16.0,12.0,8.0,Android,7332,241.95600000000002,49.8576
103,103,Samsung,Galaxy M20,5000,6.3,sim,1080,2340,8,32.0,13.0,8.0,Android,9999,329.96700000000004,67.9932
104,104,Samsung,Galaxy M30,5000,6.4,sim,1080,2340,8,32.0,13.0,16.0,Android,9499,313.46700000000004,64.5932
105,105,Honor,View 20,4000,6.4,sim,1080,2310,8,128.0,48.0,25.0,Android,25120,828.96,170.816
106,106,Asus,ZenFone Max Pro M2,5000,6.26,sim,1080,2280,8,32.0,12.0,13.0,Android,11999,395.96700000000004,81.5932
107,107,Google,Pixel 3a,3000,5.6,sim,1080,2220,8,64.0,12.2,8.0,Android,30999,1022.9670000000001,210.79319999999998
108,108,Realme,U1,3500,6.3,sim,1080,2340,8,32.0,13.0,25.0,Android,8999,296.96700000000004,61.1932
109,109,Honor,10 Lite,3400,6.21,sim,1080,2340,8,32.0,13.0,24.0,Android,7999,263.967,54.3932
110,110,Nokia,8.1,3500,6.18,sim,1080,2244,8,64.0,12.0,20.0,Android,18000,594.0,122.39999999999999
111,111,Samsung,Galaxy A9 (2018),3800,6.3,sim,1080,2220,8,128.0,24.0,24.0,Android,22000,726.0,149.6
112,112,Oppo,K1,3600,6.41,sim,1080,2340,8,64.0,16.0,25.0,Android,9990,329.67,67.932
113,113,Nokia,7.1,3060,5.84,sim,1080,2280,8,64.0,12.0,8.0,Android,11900,392.70000000000005,80.92
114,114,Realme,2 Pro,3500,6.3,sim,1080,2340,8,64.0,16.0,16.0,Android,11770,388.41,80.036
115,115,Vivo,V9 Pro,3260,6.3,sim,1080,2280,8,64.0,13.0,16.0,Android,16490,544.1700000000001,112.13199999999999
116,116,Samsung,Galaxy A7 (2018),3300,6.0,sim,1080,2220,8,64.0,24.0,24.0,Android,16490,544.1700000000001,112.13199999999999
117,117,Xiaomi,Redmi Note 6 Pro,4000,6.26,sim,1080,2280,8,64.0,12.0,20.0,Android,9580,316.14000000000004,65.14399999999999
118,118,Vivo,V11 Pro,3400,6.41,sim,1080,2340,8,64.0,12.0,25.0,Android,14990,494.67,101.93199999999999
119,119,Oppo,R17 Pro,3700,6.4,sim,1080,2340,8,128.0,12.0,25.0,Android,21299,702.8670000000001,144.8332
120,120,Nokia,5.1 Plus,3060,5.86,sim,720,1520,8,32.0,13.0,8.0,Android,6999,230.967,47.593199999999996
121,121,Honor,8X,3750,6.5,sim,1080,2340,8,64.0,20.0,16.0,Android,9999,329.96700000000004,67.9932
122,122,Poco,F1,4000,6.18,sim,1080,2246,8,64.0,12.0,20.0,Android,14990,494.67,101.93199999999999
123,123,Nokia,6.1 Plus,3060,5.8,sim,1080,2280,8,64.0,16.0,16.0,Android,8999,296.96700000000004,61.1932
124,124,Vivo,Nex,4000,6.59,sim,1080,2316,8,128.0,12.0,8.0,Android,29999,989.9670000000001,203.9932
125,125,Oppo,Find X,3730,6.42,sim,1080,2340,8,256.0,16.0,25.0,Android,59090,1949.97,401.81199999999995
126,126,Honor,Play,3750,6.3,sim,1080,2340,8,64.0,16.0,16.0,Android,18011,594.363,122.47479999999999
127,127,Realme,1,3410,6.0,sim,1080,2160,8,32.0,13.0,8.0,Android,10299,339.867,70.0332
128,128,Xiaomi,Mi A2,3000,5.99,sim,1080,2160,8,64.0,12.0,20.0,Android,8990,296.67,61.132
129,129,Honor,10,3400,5.84,sim,1080,2280,8,128.0,16.0,24.0,Android,16990,560.6700000000001,115.532
130,130,Oppo,F7,3400,6.23,sim,1080,2280,8,64.0,16.0,25.0,Android,18990,626.6700000000001,129.132
131,131,Vivo,X21,3200,6.28,sim,1080,2280,8,64.0,12.0,12.0,Android,18290,603.57,124.372
132,132,Nokia,8 Sirocco,3260,5.5,sim,1440,2560,8,128.0,12.0,5.0,Android,13999,461.96700000000004,95.19319999999999
133,133,Infinix,Hot S3,4000,5.65,sim,720,1440,8,32.0,13.0,20.0,Android,9999,329.96700000000004,67.9932
134,134,Nokia,6.1,3000,5.5,sim,1080,1920,8,32.0,16.0,8.0,Android,8849,292.017,60.173199999999994
135,135,Honor,View 10,3750,5.99,sim,1080,2160,8,128.0,16.0,13.0,Android,15899,524.667,108.11319999999999
136,136,Infinix,Zero 5 Pro,4350,5.98,sim,1080,1920,8,128.0,12.0,16.0,Android,15900,524.7,108.11999999999999
137,137,Oppo,F5,3200,6.0,sim,1080,2160,8,32.0,16.0,20.0,Android,10499,346.46700000000004,71.3932
138,138,OnePlus,5T,3300,6.01,sim,1080,2160,8,64.0,16.0,16.0,Android,28499,940.4670000000001,193.79319999999998
139,139,Honor,9i,3340,5.9,sim,1080,2160,8,64.0,16.0,16.0,Android,8999,296.96700000000004,61.1932
140,140,Xiaomi,Mi MIX 2,3400,5.99,sim,1080,2160,8,64.0,12.0,5.0,Android,29999,989.9670000000001,203.9932
141,141,Lenovo,K8 Plus,4000,5.2,sim,1080,1920,8,32.0,13.0,8.0,Android,6990,230.67000000000002,47.532
142,142,Xiaomi,Mi A1,3080,5.5,sim,1080,1920,8,32.0,12.0,5.0,Android,9999,329.96700000000004,67.9932
143,143,Sony,Xperia XZ1,2700,5.2,sim,1080,1920,8,32.0,19.0,13.0,Android,34990,1154.67,237.932
144,144,LG,V30+,3300,6.0,sim,1440,2880,8,128.0,16.0,5.0,Android,27999,923.9670000000001,190.39319999999998
145,145,Lenovo,K8 Note,4000,5.5,sim,1080,1920,10,32.0,13.0,13.0,Android,7299,240.86700000000002,49.633199999999995
146,146,Motorola,Moto G5S,3000,5.2,sim,1080,1920,8,32.0,16.0,5.0,Android,9999,329.96700000000004,67.9932
147,147,Google,Pixel 2 XL,3520,6.0,sim,1440,2880,8,64.0,12.2,8.0,Android,12994,428.802,88.3592
148,148,Google,Pixel 2,2700,5.0,sim,1080,1920,8,64.0,12.2,8.0,Android,9994,329.802,67.9592
149,149,Motorola,Moto X4,3000,5.2,sim,1080,1920,8,32.0,12.0,16.0,Android,12500,412.5,85.0
150,150,Motorola,Moto G5S Plus,3000,5.5,sim,1080,1920,8,32.0,13.0,8.0,Android,8500,280.5,57.8
151,151,Xiaomi,Redmi 5,3300,5.7,sim,720,1440,8,16.0,12.0,5.0,Android,6499,214.467,44.1932
152,152,Xiaomi,Redmi Note 5,4000,5.99,sim,1080,2160,8,32.0,12.0,5.0,Android,8699,287.067,59.1532
153,153,Jio,Phone,2000,2.4,não,240,320,2,4.0,2.0,0.3,Cyanogen,1249,41.217,8.4932
154,154,Samsung,Galaxy On Max,3300,5.7,sim,1080,1920,8,32.0,13.0,13.0,Android,9890,326.37,67.252
155,155,Motorola,Moto Z2 Play,3000,5.5,sim,1080,1920,8,64.0,12.0,5.0,Android,10499,346.46700000000004,71.3932
156,156,Yu,reka Black,3000,5.0,sim,1080,1920,8,32.0,13.0,8.0,Android,5990,197.67000000000002,40.732
157,157,Xiaomi,Mi Max 2,5300,6.44,sim,1080,1920,8,32.0,12.0,5.0,Android,8999,296.96700000000004,61.1932
158,158,Coolpad,Cool Play 6,4060,5.5,sim,1080,1920,8,64.0,13.0,8.0,Android,8999,296.96700000000004,61.1932
159,159,OnePlus,5,3300,5.5,sim,1080,1920,8,64.0,16.0,16.0,Android,17499,577.467,118.99319999999999
160,160,Asus,ZenFone Zoom S,5000,5.5,sim,1080,1920,8,64.0,12.0,13.0,Android,26999,890.9670000000001,183.5932
161,161,Honor,8 Pro,4000,5.7,sim,1440,2560,8,128.0,12.0,8.0,Android,17586,580.3380000000001,119.58479999999999
162,162,Micromax,Dual 5,3200,5.5,sim,1080,1920,8,128.0,13.0,13.0,Android,13999,461.96700000000004,95.19319999999999
163,163,Oppo,F3 Plus,4000,6.0,sim,1080,1920,8,64.0,16.0,16.0,Android,13990,461.67,95.13199999999999
164,164,Sony,Xperia XZ Premium,3230,5.5,sim,2160,3840,8,64.0,19.0,13.0,Android,33500,1105.5,227.79999999999998
165,165,Motorola,Moto G5 Plus,3000,5.2,sim,1080,1920,8,16.0,12.0,5.0,Android,10900,359.7,74.11999999999999
166,166,Asus,ZenFone 3S Max,5000,5.2,sim,720,1280,8,32.0,13.0,8.0,Android,14999,494.96700000000004,101.99319999999999
167,167,Samsung,Galaxy C7 Pro,3300,5.7,sim,1080,1920,1,64.0,16.0,16.0,Android,16999,560.967,115.5932
168,168,HTC,U Play,2500,5.2,sim,1080,1920,8,64.0,16.0,16.0,Android,15500,511.5,105.39999999999999
169,169,HTC,U Ultra,3000,5.7,sim,1440,2560,4,64.0,12.0,16.0,Android,54665,1803.9450000000002,371.722
170,170,Asus,ZenFone AR,3300,5.7,sim,1440,2560,4,128.0,23.0,8.0,Android,49999,1649.967,339.9932
171,171,Xiaomi,Redmi 4A,3120,5.0,sim,720,1280,4,16.0,13.0,5.0,Android,6999,230.967,47.593199999999996
172,172,Xiaomi,Redmi 4,4100,5.0,sim,720,1280,8,16.0,13.0,5.0,Android,8999,296.96700000000004,61.1932
173,173,Nubia,Z11 mini S,3000,5.2,sim,1080,1920,8,64.0,23.0,13.0,Android,16999,560.967,115.5932
174,174,Lenovo,Z2 Plus,3500,5.0,sim,1080,1920,4,32.0,13.0,8.0,Android,11499,379.46700000000004,78.19319999999999
175,175,LG,V20,3200,5.7,sim,1440,2560,4,64.0,16.0,5.0,Android,26999,890.9670000000001,183.5932
176,176,Lenovo,K6 Power,4000,5.0,sim,1080,1920,8,32.0,13.0,8.0,Android,8500,280.5,57.8
177,177,Sony,Xperia XZ,2900,5.2,sim,1080,1920,4,64.0,23.0,13.0,Android,11999,395.96700000000004,81.5932
178,178,Samsung,Galaxy J7 Prime,3300,5.5,sim,1080,1920,8,16.0,13.0,8.0,Android,15995,527.835,108.76599999999999
179,179,Motorola,Moto Z Play,3510,5.5,sim,1080,1920,8,32.0,16.0,5.0,Android,8990,296.67,61.132
180,180,Xiaomi,Redmi Note 4,4100,5.5,sim,1080,1920,8,32.0,13.0,5.0,Android,9990,329.67,67.932
181,181,Xiaomi,Redmi 3S Prime,4100,5.0,sim,720,1280,8,32.0,13.0,5.0,Android,8000,264.0,54.4
182,182,Motorola,Moto Z,2600,5.5,sim,1440,2560,4,64.0,13.0,5.0,Android,11999,395.96700000000004,81.5932
183,183,Asus,ZenFone 3 (ZE552KL),3000,5.5,sim,1080,1920,8,64.0,16.0,8.0,Android,14999,494.96700000000004,101.99319999999999
184,184,Smartron,t.phone,3000,5.5,sim,1080,1920,8,32.0,13.0,4.0,Android,5490,181.17000000000002,37.332
185,185,Motorola,Moto G4 Plus,3000,5.5,sim,1080,1920,8,16.0,16.0,5.0,Android,5999,197.967,40.7932
186,186,Coolpad,Max,2800,5.5,sim,1080,1920,8,64.0,13.0,5.0,Android,8499,280.46700000000004,57.7932
187,187,Xiaomi,Mi Max,4850,6.44,sim,1080,1920,6,32.0,16.0,5.0,Android,11990,395.67,81.532
188,188,Lenovo,Zuk Z1,4100,5.5,sim,1080,1920,4,64.0,13.0,8.0,Android,7499,247.467,50.993199999999995
189,189,LeEco,Le 2,3000,5.5,sim,1080,1920,8,32.0,16.0,8.0,Android,6999,230.967,47.593199999999996
190,190,LeEco,Le Max 2,3100,5.7,sim,1440,2560,4,32.0,21.0,8.0,Android,7790,257.07,52.971999999999994
191,191,Huawei,P9,3000,5.2,sim,1080,1920,8,32.0,12.0,8.0,Android,39999,1319.967,271.9932
192,192,Apple,iPhone SE,1624,4.0,sim,640,1136,1,16.0,12.0,1.2,iOS,16999,560.967,115.5932
193,193,LG,G5,2800,5.3,sim,1440,2560,4,32.0,16.0,8.0,Android,10999,362.96700000000004,74.7932
194,194,Oppo,F1,2500,5.0,sim,720,1280,8,16.0,13.0,8.0,Android,8999,296.96700000000004,61.1932
195,195,Samsung,Galaxy A5 (2016),2900,5.2,sim,1080,1920,8,16.0,13.0,5.0,Android,19990,659.6700000000001,135.932
196,196,Xiaomi,Redmi Note 3,4050,5.5,sim,1080,1920,6,16.0,16.0,5.0,Android,6899,227.667,46.913199999999996
197,197,HTC,One A9,2150,5.0,sim,1080,1920,8,32.0,13.0,4.0,Android,30149,994.917,205.01319999999998
198,198,BlackBerry,Priv,3410,5.4,sim,1440,2560,6,32.0,18.0,2.0,Android,19999,659.967,135.9932
199,199,LG,Google Nexus 5X,2700,5.2,sim,1080,1920,6,16.0,12.3,5.0,Android,25990,857.6700000000001,176.732
200,200,Apple,iPhone 6s,1715,4.7,sim,750,1334,2,16.0,12.0,5.0,iOS,22999,758.967,156.39319999999998
201,201,Lenovo,Vibe P1,4900,5.5,sim,1080,1920,8,32.0,13.0,5.0,Android,15999,527.967,108.7932
202,202,Lenovo,Vibe S1,2420,5.0,sim,1080,1920,8,32.0,13.0,8.0,Android,10990,362.67,74.732
203,203,Samsung,Galaxy S6 Edge+,3000,5.7,sim,1440,2560,8,32.0,16.0,5.0,Android,17999,593.967,122.3932
204,204,Samsung,Galaxy Note 5,3000,5.7,sim,1440,2560,8,32.0,16.0,5.0,Android,14999,494.96700000000004,101.99319999999999
205,205,Motorola,Moto X Play,3630,5.5,sim,1080,1920,8,16.0,21.0,5.0,Android,7990,263.67,54.331999999999994
206,206,Motorola,Moto G (Gen 3),2470,5.0,sim,720,1280,4,8.0,13.0,5.0,Android,10999,362.96700000000004,74.7932
207,207,Honor,7,3100,5.2,sim,1080,1920,8,16.0,20.0,8.0,Android,15999,527.967,108.7932
208,208,Asus,ZenFone Selfie,3000,5.5,sim,1080,1920,8,16.0,13.0,13.0,Android,14999,494.96700000000004,101.99319999999999
209,209,LG,G4,3000,5.5,sim,1440,2560,6,32.0,16.0,8.0,Android,13299,438.867,90.4332
210,210,Xiaomi,Mi 4i,3120,5.0,sim,1080,1920,8,16.0,13.0,5.0,Android,12999,428.96700000000004,88.3932
211,211,Lenovo,K3 Note,2900,5.5,sim,1080,1920,8,16.0,13.0,5.0,Android,9999,329.96700000000004,67.9932
212,212,Motorola,Moto Turbo,3900,5.2,sim,1440,2560,4,64.0,21.0,2.0,Android,31999,1055.967,217.5932
213,213,Gionee,Elife S7,2700,5.2,sim,1080,1920,8,16.0,13.0,8.0,Android,15999,527.967,108.7932
214,214,Lenovo,Vibe Shot,2900,5.0,sim,1080,1920,8,32.0,16.0,8.0,Android,9799,323.367,66.6332
215,215,Samsung,Galaxy S6 Edge,2600,5.1,sim,1440,2560,8,32.0,16.0,5.0,Android,25999,857.967,176.79319999999998
